Sample,Site,Sample Replicate,Date set,Date collected,Collector,Sample type collection method,Lat,Lon,Elevation (m),Habitat type,Sample current location,Distance from water (m),HOBO tracker #,HOBO deployment date ,HOBO deployment time ,Temp C (Sweep),Relative Humidity (Sweep),DEWpt degrees C (sweep) ,Collection time period,Perservative,Notes,SHIPPING INFO,OWNER,Mosquito Head Abundance,Blackfly Head Abundance,Mosquito body count,Blackfly body count,When sorted,Mosquito head code,Blackfly head code,Mosquito body code,Blackfly body code,,,,,,,,
CBAY0207,Freshwater river,Sample 1,N/A,30-Jul-25,S. Dworatzek,Sweep net,69.143213,-104.945246,12,Lotic,Mail,5-10,22332997,30-Jul-25,11:15,22.94,48.76,11.6,5 mins,30 ml of 100% ETOH,"Bushes at end of point by more flowing water, sunny very warm not very windy;
Coordinates on the label were copied from HZ's measurement (see EHTO sheet)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,16,500,15,500,never sorted in 96-well plate,CBAY_0207_M_H,CBAY_0207_BF_H,CBAY_0207_M_B,CBAY_0207_BF_B,Acedentally sorted twice (50 were taken out of the one with less to have a total of 500 and the extra samples were returned to the bulk),,,,,,,
CBAY0208,Behind College,Sample 2,N/A,29-Jul-25,L. Chan,Sweep net,69.1235,-105.06234,19,Lentic,Mail,20-30,22332997,29-Jul-25,17:13,19.44,55.06,10.19,5 mins,30 ml of 100% ETOH,"Fragmented bushes in patches, bushes quite large, ground wet and mossy with puddles, sunny and not very windy;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 4","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,6,0,6,0,previously sorted into 96-well plates ,CBAY_0208_M_H,N/A,CBAY_0208_M_B,N/A,,,,,,,,
CBAY0209,West Arm Beach,Sample 1,N/A,29-Jul-25,S. Dworatzek,Sweep net,69.091701,-105.254371,19,Terrestrial,Mail,N/A,22332997,29-Jul-25,11:31,16.73,61.49,10.07,5 mins,30 ml of 100% ETOH,"Mostly taken from very tall and green grass in the middle of the raod, 
also taken from blueish yellow grass and small flowery bushes at the side of the road, very dry ground, Sunny and not very windy ","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,11,0,11,0,previously sorted into 96-well plates ,CBAY_0209_M_H,N/A,CBAY_0209_M_B,N/A,,,,,,,,
CBAY0210,West Arm Hills ,Opportunistic ,N/A,29-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.10201,-105.24301,7,Lentic,Mail,N/A,22332997,29-Jul-25,12:20,20.18,45.45,8.03,N/A,30 ml of 100% ETOH,"Sunny and not very windy, pretty large pond/lake, sample taken by shauna and lilian off of Hannah, Dani, Shauna, and Lilian;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 5","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,119,1,119,1,previously sorted into 96-well plates ,CBAY_0210_M_H,CBAY_0210_BF_H,CBAY_0210_M_B,CBAY_0210_BF_B,,,,,,,,
CBAY0211,West Arm Hills ,Sample 1,N/A,29-Jul-25,S. Dworatzek,Sweep net,69.10201,-105.24301,7,Lentic,Mail,25-35,22332997,29-Jul-25,12:20,20.18,45.45,8.03,5 mins,30 ml of 100% ETOH,"Bushes fragmented but quite large, grassy and fairly dry ground in between, up hill from fresh water, 
Sunny and not very windy, pretty large pond/lake;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 5","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,56,0,56,0,previously sorted into 96-well plates ,CBAY_0211_M_H,N/A,CBAY_0211_M_B,N/A,,,,,,,,
CBAY0212,West Arm Beach,Opportunistic ,N/A,29-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.091701,-105.254371,19,Terrestrial,Mail,N/A,22332997,29-Jul-25,11:31,16.73,61.49,10.07,N/A,30 ml of 100% ETOH,"Sunny and not very windy, mosqutioes taken from Dani, Shauna, Hannah, and Lilian","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,83,1,84,1,never sorted in 96-well plate,CBAY_0212_M_H,CBAY_0212_BF_H,CBAY_0212_M_B,CBAY_0212_BF_B,,,,,,,,
CBAY0213,Outside of CHARS lab,Opportunistic ,N/A,29-Jul-25,"L. Chan, 
S.Dworatzek",Taking mosquitoes off people with aspirator,69.120979,-105.042507,84,Terrestrial,Mail,N/A,22332997,29-Jul-25,14:40,20.32,46.65,8.54,N/A,30 ml of 100% ETOH,"Sunny and not very windy, took up off of of Shauna, and Lilian on picnic table in the shade ","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,15,0,17,0,never sorted in 96-well plate,CBAY_0213_M_H,N/A,CBAY_0213_M_B,N/A,,,,,,,,
CBAY0214,West Arm Hills ,Sample 2,N/A,29-Jul-25,L. Chan,Sweep net,69.10201,-105.24301,7,Terrestrial,Mail,95-105,22332997,29-Jul-25,12:20,20.18,45.45,8.03,5 mins,30 ml of 100% ETOH,"Lots of bushes not completely continous but more than sample one, Sunny and not very windy, pretty large pond/lake;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 5","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,12,0,12,0,previously sorted into 96-well plates ,CBAY_0214_M_H,N/A,CBAY_0214_M_B,N/A,,,,,,,,
CBAY0216,West Arm Beach,Sample 2,N/A,29-Jul-25,L. Chan,Sweep net,69.091701,-105.254371,19,Terrestrial,Mail,N/A,22332997,29-Jul-25,11:31,16.73,61.49,10.07,5 mins,30 ml of 100% ETOH,"Mostly grassy with some short willow bushes, grass much shorter than sample one, ground very wet, Sunny and not very windy ","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,2,0,1,0,previously sorted into 96-well plates ,CBAY_0216_M_H,N/A,CBAY_0216_M_B,N/A,,,,,,,,
CBAY0219,Behind College,Sample 1,N/A,29-Jul-25,S. Dworatzek,Sweep net,69.1235,-105.06234,19,Lentic,Mail,0-5,22332997,29-Jul-25,17:13,19.44,55.06,10.19,5 mins,30 ml of 100% ETOH,"Right next to freshwater sampling the fragmented bushes along the shore, ground wet but no pudddles, ground mossy with some 
places having a green algae like coating, large pond/lake, sunny and not very windy;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 4","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,9,1,9,1,previously sorted into 96-well plates ,CBAY_0219_M_H,CBAY_0219_BF_H,CBAY_0219_M_B,CBAY_0219_BF_B,,,,,,,,
CBAY0220,Outside of CHARS lab,Opportunistic ,N/A,31-Jul-25,"L. Chan, 
S.Dworatzek",Taking mosquitoes off people with aspirator,69.120979,-105.042507,84,Terrestrial,Mail,N/A,22332997,31-Jul-25,16:30,,,,N/A,30 ml of 100% ETOH,"Not many mosquitoes today compared to the other day we sampled in the same location;
Forgot to take HOBO measurements so we will use approximate time and the contruction site or sewage-dump temperature;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 24",Box 2,Guelph,15,2,15,2,never sorted in 96-well plate,CBAY_0220_M_H,CBAY_0220_BF_H,CBAY_0220_M_B,CBAY_0220_BF_B,,,,,,,,
CBAY0222,Behind College,Opportunistic ,N/A,04-Aug-25,"L. Chan and 
S. Dworatzek",Taking mosquitoes off people with aspirator,69.1235,-105.06234,19,Lentic,Mail,N/A,22332997,04-Aug-25,18:15,19.07,62.57,11.82,N/A,30 ml of 100% ETOH,Wind died down for a while and we got a bunch of opportunistic but then it picked up a lot again as we were finishing up,Box 1,Guelph,42,34,42,35,never sorted in 96-well plate,CBAY_0222_M_H,CBAY_0222_BF_H,CBAY_0222_M_B,CBAY_0222_BF_B,,,,,,,,
CBAY0223,Behind College,Opportunistic ,N/A,29-Jul-25,"L. Chan, 
S.Dworatzek",Taking mosquitoes off people with aspirator,69.1235,-105.06234,19,Lentic,Mail,N/A,22332997,29-Jul-25,17:13,19.44,55.06,10.19,N/A,30 ml of 100% ETOH,"Sunny and not very windy, sample taken by both lilian and shauna off of lilian and shauna;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 4","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,35,0,29,0,previously sorted into 96-well plates ,CBAY_0223_M_H,N/A,CBAY_0223_M_B,N/A,,,,,,,,
CBAY0224,In front of College ,Sample 2,N/A,29-Jul-25,L. Chan,Sweep net,69.12257,-105.05666,15,Lentic,Mail,0-10,22332997,29-Jul-25,16:36,18.69,56.43,9.99,5 mins,30 ml of 100% ETOH,"Tall grass and some bushes, 0-5 m from very small pond 10 m from larger pond;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 4","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,5,1,6,1,previously sorted into 96-well plates ,CBAY_0224_M_H,CBAY_0224_BF_H,CBAY_0224_M_B,CBAY_0224_BF_B,,,,,,,,
CBAY0225,Outside of CHARS lab,Opportunistic ,N/A,30-Jul-25,"L. Chan, 
S.Dworatzek",Taking mosquitoes off people with aspirator,69.120979,-105.042507,84,Terrestrial,Mail,N/A,22332997,30-Jul-25,14:56,19.6,52.03,9.5,N/A,30 ml of 100% ETOH,"Not many mosquitoes today compared to the other day we sampled in the same location;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 24","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,9,1,10,1,never sorted in 96-well plate,CBAY_0225_M_H,CBAY_0225_BF_H,CBAY_0225_M_B,CBAY_0225_BF_B,,,,,,,,
CBAY0226,In front of College ,Sample 1,N/A,29-Jul-25,S. Dworatzek,Sweep net,69.12257,-105.05666,15,Lentic,Mail,0-5,22332997,29-Jul-25,16:36,18.69,56.43,9.99,5 mins,30 ml of 100% ETOH,"Very tall grass, some of which was growing out of the pond, pond fairly small, sunny and not very windy;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 4","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,18,0,17,0,previously sorted into 96-well plates ,CBAY_0226_M_H,N/A,CBAY_0226_M_B,N/A,,,,,,,,
CBAY0227,Greiner Lake Inlet,Sample 2,N/A,31-Jul-25,L. Chan,Sweep net,69.17868,-104.82275,5,Lotic,Mail,15-25,22332997,31-Jul-25,12:01,14.69,78.25,10.95,5 mins,30 ml of 100% ETOH,"Bushes large and continuous, ground dry, cloudy and feels humid, a bit breezy with the odd gust but not overly windy;
We measured the distance from water on Aug 4, 2025 again and we decided 15-25 m is better",Box 2,Guelph,4,14,4,14,previously sorted into 96-well plates ,CBAY_0227_M_H,CBAY_0227_BF_H,CBAY_0227_M_B,CBAY_0227_BF_B,,,,,,,,
CBAY0228,In front of College ,Opportunistic ,N/A,29-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.12257,-105.05666,15,Lentic,Mail,N/A,22332997,29-Jul-25,16:36,18.69,56.43,9.99,N/A,30 ml of 100% ETOH,"Taken off of Shauna and Lilian,  sunny and not very windy;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 4","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,63,0,67,0,never sorted in 96-well plate,CBAY_0228_M_H,,CBAY_0228_M_B,,,,,,,,,
CBAY0229,Greiner Lake Inlet,Sample 1,N/A,31-Jul-25,S. Dworatzek,Sweep net,69.17868,-104.82275,5,Lotic,Mail,0-5,22332997,31-Jul-25,12:01,14.69,78.25,10.95,5 mins,30 ml of 100% ETOH,"Bushes small and fragmented, small river going into Greiner, sample got wet and bugs got stuck together, ground very wet, 
cloudy and feels humid, a bit breezy with the odd gust but not overly windy",Box 3,Guelph,1,125,1,125,previously sorted into 96-well plates ,CBAY_0229_M_H,CBAY_0229_BF_H,CBAY_0229_M_B,CBAY_0229_BF_B,,,,,,,,
CBAY0230,River at Swimming hole ,Sample 2,N/A,30-Jul-25,S. Dworatzek,Sweep net,69.12863,-104.98762,,Lotic,Mail,0-5,22332997,30-Jul-25,12:13,21.2,53.74,11.47,5 mins,30 ml of 100% ETOH,"3 patches of continuous bushes - ran between patches, sunny very warm not very windy;
Coordinates on the label were copied from HZ's measurement (see EHTO sheet)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,9,258,9,258,,CBAY_0230_M_H,CBAY_0230_BF_H,CBAY_0230_M_B,CBAY_0230_BF_B,,,,,,,,
CBAY0231,River at Swimming hole ,Opportunistic ,N/A,31-Jul-25,L. Chan,"Taking mosquitoes off 
people with aspirator",69.12863,-104.98762,,Lotic,Mail,N/A,22332997,31-Jul-25,13:02,15.12,77.34,11.2,N/A,30 ml of 100% ETOH,"started to get much windier and very windy when we were finishing up, not many bigs fro opportunistic",Box 2,Guelph,4,5,4,5,never sorted in 96-well plate,CBAY_0231_M_H,CBAY_0231_BF_H,CBAY_0231_M_B,CBAY_0231_BF_B,,,,,,,,
CBAY0232,Creek at end of Pelly Road,Opportunistic ,N/A,31-Jul-25,L. Chan,"Taking mosquitoes off 
people with aspirator",69.20421,-104.77438,9,Lotic,Mail,N/A,22332997,31-Jul-25,10:47,13.8,81.76,10.75,N/A,30 ml of 100% ETOH,"cloudy and feels humid, 
a bit breezy with the odd gust but not overly windy",Box 2,Guelph,12,21,12,21,never sorted in 96-well plate,CBAY_0232_M_H,CBAY_0232_BF_H,CBAY_0232_M_B,CBAY_0232_BF_B,,,,,,,,
CBAY0233,Creek at end of Pelly Road,Sample 1,N/A,31-Jul-25,L. Chan,Sweep net,69.20421,-104.77438,9,Lotic,Mail,0-5,22332997,31-Jul-25,10:47,13.8,81.76,10.75,5 mins,30 ml of 100% ETOH,"A different GPS was used to take the coordinates;
Wet ground from rain, bushes large and fairly contiuous, cloudy and feels humid, 
a bit breezy with the odd gust but not overly windy",Box 2,Guelph,1,500,1,499,previously sorted into 96-well plates,CBAY_0233_M_H,CBAY_0233_BF_H,CBAY_0233_M_B,CBAY_0233_BF_B,,,,,,,,
CBAY0234,Freshwater river,Opportunistic ,N/A,30-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.143213,-104.945246,12,Lotic,Mail,N/A,22332997,30-Jul-25,11:15,22.94,48.76,11.6,N/A,30 ml of 100% ETOH,"Sunny, little wind;
Coordinates on the label were copied from HZ's measurement (see EHTO sheet)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,108,23,108,22,never sorted in 96-well plate,CBAY_0234_M_H,CBAY_0234_BF_H,CBAY_0234_M_B,CBAY_0234_BF_B,,,,,,,,
CBAY0235,River at Swimming hole ,Sample 2,N/A,31-Jul-25,L. Chan,Sweep net,69.12863,-104.98762,,Lotic,Mail,0-5,22332997,31-Jul-25,13:02,15.12,77.34,11.2,5 mins,30 ml of 100% ETOH,"Bushes continuous and mostly big, ground dry and grassy, started to get much windier and very windy when we were finishing up ",Box 2,Guelph,10,500,10,500,never sorted in 96-well plate,CBAY_0235_M_H,CBAY_0235_BF_H,CBAY_0235_M_B,CBAY_0235_BF_B,,,,,,,,
CBAY0237,Greiner Lake Inlet,Opportunistic ,N/A,31-Jul-25,L. Chan,"Taking mosquitoes off 
people with aspirator",69.17868,-104.82275,5,Lotic,Mail,N/A,22332997,31-Jul-25,12:01,14.69,78.25,10.95,N/A,30 ml of 100% ETOH,"cloudy and feels humid, a bit breezy with the odd gust but not overly windy",Box 2,Guelph,40,3,40,3,never sorted in 96-well plate,CBAY0237_M_H,CBAY_0237_BF_H,CBAY_0237_M_B,CBAY_0237_BF_B,,,,,,,,
CBAY0238,Creek at end of Pelly Road,Sample 2,N/A,31-Jul-25,S. Dworatzek,Sweep net,69.20421,-104.77438,9,Lotic,Mail,20-25,22332997,31-Jul-25,10:47,13.8,81.76,10.75,5 mins,30 ml of 100% ETOH,"Bushes small and continuous, ground wet with shallow and small puddles through out,  cloudy and feels humid, 
a bit breezy with the odd gust but not overly windy",Box 2,Guelph,0,500,0,498,never sorted in 96-well plate,NA,CBAY_0238_BF_H,NA,CBAY_0238_BF_B,,,,,,,,
CBAY0241,River at Swimming hole ,Sample 1,N/A,30-Jul-25,L. Chan,Sweep net,69.12863,-104.98762,,Lotic,Mail,0-5,22332997,30-Jul-25,12:13,21.2,53.74,11.47,5 mins,30 ml of 100% ETOH,"Creek going out of swimming hole, last time we sampled river going into swimming hole, Lilian sampled one side of River Shauna 
sampled other side, bushes fairly continuous, sunny very warm not very windy;
Coordinates on the label were copied from HZ's measurement (see EHTO sheet)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,6,234,6,234,previously sorted into 96-well plates ,CBAY_0241_M_H,CBAY_0241_BF_H,CBAY_0241_M_B,CBAY_0241_BF_B,,,,,,,,
CBAY0242,River at Swimming hole ,Opportunistic ,N/A,30-Jul-25,"L. Chan, 
S.Dworatzek",Taking mosquitoes off people with aspirator,69.12863,-104.98762,,Lotic,Mail,N/A,22332997,30-Jul-25,12:13,21.2,53.74,11.47,N/A,30 ml of 100% ETOH,"sunny very warm not very windy;
Coordinates on the label were copied from HZ's measurement (see EHTO sheet)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,78,4,70,4,previously sorted into 96-well plates ,CBAY_0242_M_H,CBAY_0242_BF_H,CBAY_0242_M_B,CBAY_0242_BF_B,,,,,,,,
CBAY0243,Freshwater river,Sample 2,N/A,30-Jul-25,L. Chan,Sweep net,69.143213,-104.945246,12,Lotic,Mail,0-5,22332997,30-Jul-25,11:15,22.94,48.76,11.6,5 mins,30 ml of 100% ETOH,"Continuous bushes by the edge of river inlet which flows slower, sunny very warm not very windy;
Coordinates on the label were copied from HZ's measurement (see EHTO sheet)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,0,39,0,39,previously sorted into 96-well plates ,N/A,CBAY_0243_BF_H,N/A,CBAY_0243_BF_B,,,,,,,,
CBAY0244,Behind College,Sample 2,N/A,04-Aug-25,S. Dworatzek,Sweep net,69.1235,-105.06234,19,Lentic,Mail,20-30,22332997,04-Aug-25,18:15,19.07,62.57,11.82,5 mins,30 ml of 100% ETOH,"Same place as L. Chan on July 29, 2025;
Bushes mostly small to medium, fragmented with tall grass;
Dry and rocky ground in some parts and wet with puddles in others",Box 2,Guelph,7,8,7,8,previously sorted into 96-well plates ,CBAY_0244_M_H,CBAY_0244_BF_H,CBAY_0244_M_H,CBAY_0244_BF_B,,,,,,,,
CBAY0245,At KFS Cabin,Haphazard 1,N/A,30-Jul-25,Zuri and Carmine,Sweep net,69.10388,-105.32737,-13,Terrestrial,Mail,N/A,22332997,30-Jul-25,19:56,15.11,57.22,6.72,N/A,"50 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Sampling with KFS kids mainly taking the mosquitoes that were flying around in the air and some taking off of other people, 
Started raining when children started sampling, ",Box 3,Guelph,15,0,15,0,previously sorted into 96-well plates ,CBAY0245_M_H_KFS,N/A,CBAY0245_M_B_KFS,N/A,,,,,,,,
CBAY0246,At KFS Cabin,Haphazard 1,N/A,30-Jul-25,"Brandon, RJ, 
and Jordan",Sweep net,69.10388,-105.32737,-13,Terrestrial,Mail,N/A,22332997,30-Jul-25,19:56,15.11,57.22,6.72,N/A,"50 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Sampling with KFS kids mainly taking the mosquitoes that were flying around in the air and some taking off of other people, 
Started raining when children started sampling, ",Box 3,Guelph,41,1,40,1,previously sorted into 96-well plates ,CBAY0246_M_H_KFS,CBAY0246_BF_H_KFS,CBAY0246_M_B_KFS,CBAY0246_BF_B_KFS,,,,,,,,
CBAY0247,At KFS Cabin,Haphazard 1,N/A,30-Jul-25,Malaya,Sweep net,69.10388,-105.32737,-13,Terrestrial,Mail,N/A,22332997,30-Jul-25,19:56,15.11,57.22,6.72,N/A,"50 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Sampling with KFS kids mainly taking the mosquitoes that were flying around in the air and some taking off of other people, 
Started raining when children started sampling, ",Box 3,,6,0,6,0,never sorted in 96-well plate,CBAY0247_M_H_KFS,NA,CBAY0247_M_B_KFS,NA,,,,,,,,
CBAY0248,At KFS Cabin,Haphazard 1,N/A,30-Jul-25,"Jessica and 
Brother",Sweep net,69.10388,-105.32737,-13,Terrestrial,Mail,N/A,22332997,30-Jul-25,19:56,15.11,57.22,6.72,N/A,"50 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Sampling with KFS kids mainly taking the mosquitoes that were flying around in the air and some taking off of other people, 
Started raining when children started sampling, ",Box 3,,146,2,146,2,previously sorted into 96 well plates ,CBAY0248_M_H_KFS,CBAY0248_BF_H_KFS,CBAY0248_M_B_KFS,CBAY0248_BF_B_KFS,,,,,,,,
CBAY0249,At KFS Cabin,Haphazard 1,N/A,30-Jul-25,Alyssa,Sweep net,69.10388,-105.32737,-13,Terrestrial,Mail,N/A,22332997,30-Jul-25,19:56,15.11,57.22,6.72,N/A,"50 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Sampling with KFS kids mainly taking the mosquitoes that were flying around in the air and some taking off of other people, 
Started raining when children started sampling, ",Box 3,,22,0,21,0,previously sorted into 96 well plates ,CBAY0249_M_H_KFS,N/A,CBAY0249_M_B_KFS,N/A,,,,,,,,
CBAY0250,Airport Road 3 Pond 1,Sample 2,N/A,05-Aug-25,S. Dworatzek,Sweep net,69.11241,-105.09043,34,Lentic,Mail,25-35,22332997,05-Aug-25,14:37,16.76,63.6,9.78,5 mins,30 ml of 100% ETOH,"Samples taken in the same place as last time;
Still very cloudy but not windy at all (mosquitoes went crazy again!);
Bushes some small some large but very fragmented;
Ground dry and dusty",Box 2,Guelph,11,18,11,18,previously sorted into 96 well plates ,CBAY0250_M_H,CBAY0250_BF_H,CBAY0250_M_B,CBAY0250_BF_B,,,,,,,,
CBAY0251,River at Swimming hole ,Opportunistic ,N/A,04-Aug-25,"L. Chan and 
S. Dworatzek",Taking mosquitoes off people with aspirator,69.1293,-104.99179,6,Lotic,Mail,N/A,22332997,04-Aug-25,13:27,22.41,51.78,12.02,N/A,30 ml of 100% ETOH,"Tall grasses, some of which are growing out of the large pond;
Grass mostly green",Box 2,Guelph,14,7,14,7,previously sorted into 96 well plates ,CBAY0251_M_H,CBAY0251_BF_H,CBAY0251_M_B,CBAY0251_BF_B,,,,,,,,
CBAY0253,Freshwater river,Sample 2,N/A,04-Aug-25,L. Chan,Sweep net,69.143178,-104.94794,82.6,Lotic,Mail,0-5,22332997,04-Aug-25,12:07,22.29,53.43,12.41,5 mins,30 ml of 100% ETOH,"Samples taken in the same place as last time;
Very windy and sun behind cloud;
Fragmented bushes - some large and some small. Ground dry;
Elevation likely taken on higher part of hill",Box 2,Guelph,0,500,0,500,never sorted in 96-well plate,NA,CBAY0253_BF_H,,CBAY0253_BF_B,,,,,,,,
CBAY0254,In front of College ,Opportunistic ,N/A,04-Aug-25,"L. Chan and 
S. Dworatzek",Taking mosquitoes off people with aspirator,69.12257,-105.05666,15,Lentic,Mail,N/A,22332997,04-Aug-25,17:15,18.37,59.53,10.36,N/A,30 ml of 100% ETOH,Still quite windy some mosquitoes and black flies but not many landing on us ,Box 1,Guelph,21,7,21,7,never sorted in 96-well plate,CBAY0254_M_H,CBAY0254_BF_H,CBAY0254_M_B,CBAY0254_BF_B,,,,,,,,
CBAY0259,River at Swimming hole ,Sample 1,N/A,31-Jul-25,S. Dworatzek,Sweep net,69.12863,-104.98762,,Lotic,Mail,0-5,22332997,31-Jul-25,13:02,15.12,77.34,11.2,5 mins,30 ml of 100% ETOH,"Sampled on either side of river where Joey and I sampled last time, ground wet by river but dryer only a meter away, 
very mossy on both wet and dry parts, bushes both small and large and somehwat fragmented, 
started to get much windier and very windy when we were finishing up ",Box 3,Guelph,4,4,500,500,never sorted in 96-well plate,CBAY0259_M_H,CBAY0259_BF_H,CBAY0259_M_B,CBAY0259_BF_B,,,,,,,,
CBAY0260,At KFS Cabin,Haphazard 1,N/A,30-Jul-25,Spencer,Sweep net,69.10388,-105.32737,-13,Terrestrial,Mail,N/A,22332997,30-Jul-25,19:56,15.11,57.22,6.72,N/A,"50 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Sampling with KFS kids mainly taking the mosquitoes that were flying around in the air and some taking off of other people, 
Started raining when children started sampling, ",Box 3,Guelph,5,2,3,2,previously sorted into 96 well plates ,CBAY0260_M_H_KFS,CBAY0260_BF_H_KFS,CBAY0260_M_B_KFS,CBAY0260_BF_B_KFS,,,,,,,,
CBAY0263,Dew line Road 1,Sample 2,N/A,01-Aug-25,S. Dworatzek,Sweep net,69.13698,-105.17181,25,Lentic,Mail,0-5,22332997,01-Aug-25,15:32,17.67,50.76,7.33,5 mins,30 ml of 100% ETOH,"The coordinnates taken last time was very inaccurate;
Bushes large and fragmented;
Grounnd dry and grassy",Box 1,Guelph,29,2,31,2,never sorted in 96-well plate,CBAY0263_M_H,CBAY0263_BF_H,CBAY0263_M_B,CBAY0263_BF_B,,,,,,,,
CBAY0264,Dew line Road next to station,Sample 3,N/A,01-Aug-25,L. Chan,Sweep net,69.11926,-105.12775,10,Lotic,Mail,0-10,22332997,01-Aug-25,16:13,16.26,55.61,7.37,5 mins,30 ml of 100% ETOH,"Same sampling site as last time;
Ground wet, big continuous bishes",Box 2,Guelph,14,14,14,15,previously sorted into 96 well plates ,CBAY0264_M_H,CBAY0264_BF_H,CBAY0264_M_B,CBAY0264_BF_B,,,,,,,,
CBAY0265,First Creek,Sample 1,N/A,01-Aug-25,L. Chan,Sweep net,69.13284,-105.463245,-5,Lotic,Mail,0-5,22332997,01-Aug-25,13:43,15.43,56.77,6.91,5 mins,30 ml of 100% ETOH,"Sunny, not too windy;
Continuous bushes;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 22",Box 1,Guelph,7,3,7,3,previously sorted into 96 well plates ,CBAY0265_M_H,CBAY0265_BF_H,CBAY0265_M_B,CBAY0265_BF_B,,,,,,,,
CBAY0267,Dew line Road next to station,Sample 4,N/A,01-Aug-25,S. Dworatzek,Sweep net,69.11926,-105.12775,10,Lotic,Mail,55-65,22332997,01-Aug-25,16:13,16.26,55.61,7.37,5 mins,30 ml of 100% ETOH,Same sampling site as last time;,Box 1,Guelph,29,89,31,90,never sorted in 96-well plate,CBAY0267_M_H,CBAY0267_BF_H,CBAY0267_M_B,CBAY0267_BF_B,,,,,,,,
CBAY0268,Airport Road 3 Pond 2,Sample 3,N/A,03-Aug-25,S. Dworatzek,Sweep net,69.11241,-105.09043,34,Lentic,Mail,0-5,22332997,03-Aug-25,16:26,18.14,53.1,8.44,5 mins,30 ml of 100% ETOH,"Bushes mostly large but some small and fragmented, ground mostly dry and dusty with dust coming off bushes when sweeping, 
sunny and pretty windy although slightly less windy than during sample 1 and 2 and when removing malaise traps;
Distance from water measured on Aug 5, 2025",Box 1,Guelph,10,14,10,14,previously sorted into 96 well plates ,CBAY0268_M_H,CBAY0268_BF_H,CBAY0268_M_B,CBAY0268_BF_B,,,,,,,,
